,Degree Centrality,Closeness Centrality,Betweenness Centrality,Degree,Clustering Coefficient
Duruelo de la Sierra,0.05050505050505051,0.1544461778471139,0.046473387930188036,5,0.5
Roa,0.030303030303030304,0.198,0.10470977601445666,3,0.3333333333333333
Salas de los Infantes,0.05050505050505051,0.16751269035532995,0.054085987274268686,5,0.4
Villadiego,0.04040404040404041,0.18435754189944134,0.13711558609309193,4,0.3333333333333333
Valle de Mena,0.020202020202020204,0.12924281984334204,0.0,2,1.0
San Justo de la Vega,0.07070707070707072,0.1774193548387097,0.07197131853774684,7,0.5238095238095238
Bañeza (La),0.06060606060606061,0.18333333333333332,0.016617353323925936,6,0.6
Folgoso de la Ribera,0.06060606060606061,0.15492957746478872,0.13275613275613274,6,0.4666666666666667
Santa Marina del Rey,0.08080808080808081,0.17773788150807898,0.08136614477193532,8,0.5714285714285714
Sabero,0.05050505050505051,0.1686541737649063,0.002099475800774502,5,0.7
Cubillos del Sil,0.05050505050505051,0.13598901098901098,0.019377447948876518,5,0.8
Villadecanes,0.05050505050505051,0.13598901098901098,0.019377447948876518,5,0.8
Santovenia de la Valdoncina,0.08080808080808081,0.18574108818011256,0.020988578972544525,8,0.6785714285714286
Villaquilambre,0.08080808080808081,0.18574108818011256,0.021653880181720125,8,0.6785714285714286
Vega de Espinareda,0.05050505050505051,0.13598901098901098,0.019377447948876518,5,0.8
Gradefes,0.08080808080808081,0.1956521739130435,0.11133634562390206,8,0.5
Villamañán,0.09090909090909091,0.20454545454545456,0.16402981313611384,9,0.4722222222222222
Villasabariego,0.07070707070707072,0.18504672897196262,0.011843267098409535,7,0.7619047619047619
Pola de Gordón (La),0.06060606060606061,0.17098445595854922,0.007981849726264735,6,0.8
Palacios del Sil,0.04040404040404041,0.1354309165526676,0.0,4,1.0
Puente de Domingo Flórez,0.04040404040404041,0.12073170731707317,0.03999175427746856,4,0.5
Villada,0.05050505050505051,0.21428571428571427,0.041142307363576214,5,0.5
Valderas,0.05050505050505051,0.22247191011235956,0.16344090460596905,5,0.3
Velilla del Río Carrión,0.04040404040404041,0.18,0.00926981781746884,4,0.5
Barruelo de Santullán,0.020202020202020204,0.16610738255033558,0.0,2,1.0
Herrera de Pisuerga,0.06060606060606061,0.19760479041916168,0.08027669692917148,6,0.4
Torquemada,0.05050505050505051,0.19959677419354838,0.01915462167945981,5,0.6
Carrión de los Condes,0.07070707070707072,0.2088607594936709,0.04320726621937857,7,0.5238095238095238
Cervera de Pisuerga,0.04040404040404041,0.181651376146789,0.006886476542066051,4,0.5
Venta de Baños,0.06060606060606061,0.21615720524017468,0.0343767884592348,6,0.5333333333333333
Palencia,0.07070707070707072,0.21710526315789475,0.060279066741543874,7,0.47619047619047616
Paredes de Nava,0.06060606060606061,0.2032854209445585,0.020243775672497515,6,0.6
Saldaña,0.08080808080808081,0.20842105263157895,0.1418173331982371,8,0.32142857142857145
Terradillos,0.05050505050505051,0.19111969111969113,0.09032534531186184,5,0.6
Alberca (La),0.04040404040404041,0.14887218045112782,0.017624381457650457,4,0.3333333333333333
Aldeadávila de la Ribera,0.030303030303030304,0.13655172413793104,0.00041056826771112485,3,0.6666666666666666
Salamanca,0.05050505050505051,0.19038461538461537,0.015646061933699065,5,0.7
Béjar,0.04040404040404041,0.14887218045112782,0.006886323081892218,4,0.6666666666666666
Villoria,0.05050505050505051,0.19298245614035087,0.003848415802978825,5,0.8
Ciudad Rodrigo,0.04040404040404041,0.14042553191489363,0.010425500800290212,4,0.5
Fuente de San Esteban (La),0.05050505050505051,0.15890850722311398,0.046767120406235534,5,0.4
Fuentes de Oñoro,0.020202020202020204,0.12390488110137672,0.0,2,1.0
Guijuelo,0.05050505050505051,0.1689419795221843,0.083243185377652,5,0.4
Ledesma,0.06060606060606061,0.17902350813743217,0.11458680634775965,6,0.26666666666666666
Lumbrales,0.05050505050505051,0.13865546218487396,0.013438994492776503,5,0.4
Peñaranda de Bracamonte,0.06060606060606061,0.20582120582120583,0.07777119347078218,6,0.6
Vitigudino,0.05050505050505051,0.15639810426540285,0.02245798493071885,5,0.5
Mozoncillo,0.030303030303030304,0.18198529411764705,0.08220557317929283,3,0.0
Cantalejo,0.04040404040404041,0.2,0.0931762660254255,4,0.3333333333333333
Carbonero el Mayor,0.07070707070707072,0.22247191011235956,0.1587264195829838,7,0.42857142857142855
Nava de la Asunción,0.06060606060606061,0.21475054229934923,0.021719270828757298,6,0.5333333333333333
Campaspero,0.07070707070707072,0.2214765100671141,0.14870316102586972,7,0.38095238095238093
San Cristóbal de Segovia,0.04040404040404041,0.19038461538461537,0.011802835612359425,4,0.5
Ólvega,0.010101010101010102,0.11927710843373494,0.0,1,0.0
Almazán,0.030303030303030304,0.12807244501940493,0.02061430632859204,3,0.0
Arcos de Jalón,0.010101010101010102,0.11366245694603903,0.0,1,0.0
Berlanga de Duero,0.030303030303030304,0.14516129032258066,0.03174995112339221,3,0.3333333333333333
Burgo de Osma-Ciudad de Osma,0.05050505050505051,0.1652754590984975,0.06951349696101868,5,0.4
Soria,0.030303030303030304,0.13524590163934427,0.027619251102952876,3,0.0
San Leonardo de Yagüe,0.05050505050505051,0.1542056074766355,0.013987584521528687,5,0.6
Pedraja de Portillo (La),0.08080808080808081,0.22706422018348624,0.02866209538924156,8,0.6785714285714286
Zaratán,0.09090909090909091,0.23459715639810427,0.06781542334012844,9,0.5833333333333334
Viana de Cega,0.07070707070707072,0.2255125284738041,0.026064752898343545,7,0.8095238095238095
Santovenia de Pisuerga,0.09090909090909091,0.23459715639810427,0.06781542334012844,9,0.5833333333333334
Pedrajas de San Esteban,0.10101010101010102,0.23627684964200477,0.10695876513558276,10,0.5333333333333333
Seca (La),0.09090909090909091,0.22811059907834103,0.08242396394964238,9,0.5
Villabrágima,0.06060606060606061,0.2323943661971831,0.13746456638596072,6,0.3333333333333333
Traspinedo,0.08080808080808081,0.23185011709601874,0.04330825777186045,8,0.6785714285714286
Trabazos,0.010101010101010102,0.09763313609467456,0.0,1,0.0
Benavente,0.05050505050505051,0.20040485829959515,0.06883939469120805,5,0.4
Bermillo de Sayago,0.030303030303030304,0.16808149405772496,0.009028056752328094,3,0.3333333333333333
Villaralbo,0.030303030303030304,0.19373776908023482,0.023040382133746578,3,0.3333333333333333
Fermoselle,0.04040404040404041,0.15372670807453417,0.010709667335253005,4,0.5
Fuentesaúco,0.08080808080808081,0.20842105263157895,0.17908969362366303,8,0.39285714285714285
Puebla de Sanabria,0.020202020202020204,0.10807860262008734,0.0202020202020202,2,0.0
Toro,0.06060606060606061,0.2255125284738041,0.18818201602880844,6,0.26666666666666666
Santibáñez de Vidriales,0.030303030303030304,0.1742957746478873,0.006344298181032873,3,0.6666666666666666
Villalpando,0.04040404040404041,0.21710526315789475,0.10580950855095454,4,0.5
