Población;Latitud;Longitud
Puerto Serrano;36,92159;-5,545621
Rota;36,61699;-6,358202
San Fernando;36,46572;-6,196626
San José del Valle;36,60554;-5,798952
San Roque;36,20975;-5,384572
Sanlúcar de Barrameda;36,77882;-6,354198
Setenil de las Bodegas;36,86406;-5,181413
Tarifa;36,01271;-5,602954
Trebujena;36,86951;-6,176695
Ubrique;36,67771;-5,446557
Vejer de la Frontera;36,25331;-5,962856
Villamartín;36,86132;-5,641834
Zahara;36,84053;-5,390547
Adamuz;38,02736;-4,524873
Aguilar de la Frontera;37,51503;-4,656057
Alcaracejos;38,38823;-4,967684
Almedinilla;37,439;-4,091205
Almodóvar del Río;37,80959;-5,019958
Añora;38,41099;-4,897461
Baena;37,61441;-4,326089
Belalcázar;38,57843;-5,167119
Belmez;38,27234;-5,208753
Benamejí;37,26732;-4,540418
Bujalance;37,89657;-4,383588
Cabra;37,47437;-4,425931
Cañete de las Torres;37,86741;-4,318819
Carcabuey;37,44359;-4,273436
Cardeña;38,27047;-4,32373
Carlota (La);37,67361;-4,932553
Carpio (El);37,94054;-4,498775
Castro del Río;37,68864;-4,481579
Córdoba;37,88473;-4,779152
Doña Mencía;37,55457;-4,357603
Dos Torres;38,44524;-4,894932
Encinas Reales;37,27488;-4,489717
Espejo;37,68211;-4,552363
Espiel;38,18865;-5,018202
Fernán-Núñez;37,67226;-4,723994
Fuente Obejuna;38,26675;-5,419834
Fuente Palmera;37,70319;-5,103904
Guadalcázar;37,75755;-4,94463
Hinojosa del Duque;38,50099;-5,148333
Hornachuelos;37,83084;-5,242984
Iznájar;37,25726;-4,308423
Lucena;37,40873;-4,485598
Luque;37,55932;-4,276523
Montalbán de Córdoba;37,58292;-4,749699
Montemayor;37,64862;-4,698889
Montilla;37,58963;-4,638313
Montoro;38,02617;-4,381874
Monturque;37,47332;-4,581713
Moriles;37,43526;-4,608767
Nueva Carteya;37,58566;-4,467291
Obejo;38,13433;-4,800506
Palenciana;37,2492;-4,583651
Palma del Río;37,70163;-5,283767
Pedro Abad;37,96708;-4,457226
Pedroche;38,42873;-4,763438
Peñarroya-Pueblonuevo;38,30304;-5,272851
Posadas;37,80041;-5,107038
Pozoblanco;38,37742;-4,848376
Priego de Córdoba;37,4389;-4,194839
Puente Genil;37,39051;-4,770465
Rambla (La);37,60816;-4,741319
Rute;37,32587;-4,371301
Santaella;37,56627;-4,845094
Torrecampo;38,4751;-4,679456
Valenzuela;37,77508;-4,219841
Victoria (La);37,88327;-4,784959
Villa del Río;37,98227;-4,290878
Villafranca de Córdoba;37,96193;-4,545728
Villanueva de Córdoba;38,32279;-4,628341
Villanueva del Duque;38,39297;-5,000132
Villanueva del Rey;38,19965;-5,151443
Villaralto;38,45571;-4,984371
Villaviciosa de Córdoba;38,07598;-5,014214
Viso (El);38,4827;-4,955392
Albolote;37,23085;-3,657415
Albuñol;36,79125;-3,203485
Albuñuelas;36,9282;-3,631472
Alfacar;37,23657;-3,570654
Algarinejo;37,32492;-4,158846
Alhama de Granada;37,00252;-3,988389
Alhendín;37,1076;-3,645584
Almuñécar;36,73454;-3,690736
Alpujarra de la Sierra;36,9815;-3,157129
Arenas del Rey;36,95771;-3,894323
Armilla;37,1401;-3,617981
Atarfe;37,2229;-3,687416
Baza;37,49065;-2,774473
Beas de Granada;37,21916;-3,481737
Benalúa;37,3503;-3,16904
Benalúa de las Villas;37,42758;-3,683473
Benamaurel;37,60913;-2,699214
Cádiar;36,94673;-3,180546
Cájar;37,13422;-3,570618
Campotéjar;37,48131;-3,616497
Caniles;37,43626;-2,722401
Castilléjar;37,7147;-2,642967
Castril;37,79573;-2,779088
Cenes de la Vega;37,15931;-3,537524
Chauchina;37,20142;-3,77254
Chimeneas;37,13137;-3,823198
Churriana de la Vega;37,14777;-3,64595
Cijuela;37,19989;-3,810801
Cogollos de la Vega;37,27486;-3,572908
Colomera;37,37206;-3,71382
Cortes de Baza;37,65493;-2,769917
Cortes y Graena;37,30363;-3,218777
Cuevas del Campo;37,60847;-2,931033
Cúllar;37,58368;-2,576282
Cúllar Vega;37,15327;-3,670436
Darro;37,35002;-3,292531
Deifontes;37,32524;-3,594484
Dílar;37,07499;-3,601624
Dúrcal;36,98793;-3,56616
Fonelas;37,41344;-3,173344
Freila;37,52869;-2,906795
Fuente Vaqueros;37,21957;-3,783053
Gabias (Las);37,135;-3,698333
Galera;37,74289;-2,551193
Gójar;37,10443;-3,606203
Granada;37,17649;-3,597929
Guadahortuna;37,55655;-3,400713
Guadix;37,3004;-3,134583
Guajares (Los);36,84568;-3,61165
Gualchos;36,74357;-3,389869
Güejar Sierra;37,15992;-3,438619
Güevéjar;37,25698;-3,597678
Huéneja;37,17693;-2,948596
Huéscar;37,80949;-2,539663
Huétor de Santillán;37,21823;-3,517399
Huétor Tájar;37,19463;-4,047139
Huétor Vega;37,15238;-3,575904
Illora;37,28843;-3,879782
Itrabo;36,79948;-3,638711
Iznalloz;37,3927;-3,527549
Jayena;36,94883;-3,822807
Jerez del Marquesado;37,18385;-3,159872
Jun;37,22064;-3,59443
Láchar;37,19508;-3,834064
Lanjarón;36,91806;-3,480488
Lecrín;36,9477;-3,550382
Loja;37,16884;-4,151471
Malahá (La);37,10146;-3,722502
Maracena;37,20568;-3,636805
Moclín;37,34158;-3,786422
Molvízar;36,78689;-3,607518
Monachil;37,13209;-3,539469
Montefrío;37,32097;-4,011364
Montejícar;37,57196;-3,5047
Montillana;37,50127;-3,672423
Moraleda de Zafayona;37,16977;-3,965147
Motril;36,74467;-3,516718
Nevada;37;-3,016667
Nigüelas;36,97741;-3,539319
Ogíjares;37,11991;-3,607937
Orce;37,72141;-2,479451
Órgiva;36,90224;-3,42399
Otívar;36,81491;-3,681497
Otura;37,09431;-3,635073
Padul;37,02432;-3,626719
Pedro Martínez;37,50168;-3,230659
Peligros;37,23122;-3,629415
Peza (La);37,2756;-3,284761
Píñar;37,44337;-3,439418
Pinar (El);37,44337;-3,439418
Pinos Genil;37,16339;-3,502635
Pinos Puente;37,25146;-3,750995
Polopos;36,79553;-3,297135
Puebla de Don Fadrique;37,9579;-2,43508
Pulianas;37,22264;-3,608163
Purullena;37,31759;-3,190274
Quéntar;37,19201;-3,468192
Salar;37,14882;-4,067732
Salobreña;36,74626;-3,587108
Santa Fe;37,18936;-3,719076
Ugíjar;36,96075;-3,054754
Valle (El);37,28611;-3,008889
Valle del Zalabí;37,28611;-3,008889
Vegas del Genil;37,16667;-3,7
Vélez de Benaudalla;36,83195;-3,516209
Villamena;36,99035;-3,588935
Villanueva Mesía;37,2142;-4,011248
Zafarraya;36,97551;-4,144421
Zubia (La);37,12061;-3,584668
Zújar;37,54015;-2,842817
Aljaraque;37,27111;-7,021585
Almonaster la Real;37,87181;-6,787901
Almonte;37,26254;-6,51724
Alosno;37,54936;-7,115428
Aracena;37,89417;-6,561207
Aroche;37,94426;-6,954265
Arroyomolinos de León;38,02604;-6,421104
Ayamonte;37,21466;-7,409819
Beas;37,42592;-6,792988
Bollullos Par del Condado;37,33615;-6,535758
Bonares;37,3219;-6,680697
Cala;37,97217;-6,31649
Calañas;37,65482;-6,878683
Campillo (El);37,69332;-6,630814
Cartaya;37,28314;-7,154979
Cerro de Andévalo (El);37,73519;-6,938734
Chucena;37,36157;-6,393946
Cortegana;37,90937;-6,820616
Cumbres Mayores;38,0637;-6,647074
Encinasola;38,13522;-6,872141
Escacena del Campo;37,41033;-6,389561
Galaroza;37,92757;-6,709221
Gibraleón;37,37495;-6,970141
Higuera de la Sierra;37,83819;-6,447579
Hinojos;37,29273;-6,376253
Huelva;37,2571;-6,949555
Isla Cristina;37,19943;-7,325246
Jabugo;37,91671;-6,729078
Lepe;37,25432;-7,203348
Lucena del Puerto;37,30394;-6,730086
Manzanilla;37,38773;-6,429422
Minas de Riotinto;37,69391;-6,591848
Moguer;37,27469;-6,836591
Nerva;37,69511;-6,550632
Niebla;37,3601;-6,6792
Palma del Condado (La);37,38784;-6,5534
Palos de la Frontera;37,2282;-6,893426
Paterna del Campo;37,42096;-6,401431
Paymogo;37,74063;-7,345994
Puebla de Guzmán;37,61144;-7,245831
Punta Umbría;37,18248;-6,967148
Rociana del Condado;37,30781;-6,598672
Rosal de la Frontera;37,9678;-7,220527
San Bartolomé de la Torre;37,44596;-7,106683
San Juan del Puerto;37,31416;-6,840784
Santa Bárbara de Casa;37,79655;-7,188633
Santa Olalla del Cala;37,90651;-6,229617
Trigueros;37,38319;-6,833752
Valverde del Camino;37,57339;-6,753376
Villablanca;37,30373;-7,341905
Villalba del Alcor;37,39729;-6,476595
Villanueva de los Castillejos;37,50046;-7,272443
Villarrasa;37,38945;-6,606914
Zalamea la Real;37,67891;-6,660578
Albanchez de Mágina;37,79165;-3,468285
Alcalá la Real;37,46358;-3,925078
Alcaudete;37,59106;-4,086735
Andújar;38,03675;-4,054391
Arjona;37,93648;-4,054891
Arjonilla;37,97355;-4,107027
Arquillos;38,18201;-3,430886
Arroyo del Ojanco;38,32092;-2,894979
Baeza;37,99343;-3,469237
Bailén;38,09588;-3,774859
Baños de la Encina;38,17133;-3,774258
Beas de Segura;38,25238;-2,889883
Bedmar y Garcíez;37,82271;-3,411761
Begíjar;37,98452;-3,53483
Bélmez de la Moraleda;37,7239;-3,38222
Cabra del Santo Cristo;37,70535;-3,286108
Cambil;37,67691;-3,565627
Campillo de Arenas;37,55593;-3,635789
Canena;38,04868;-3,482172
Cárcheles;37,6533;-3,635799
Carolina (La);38,27468;-3,615412
Castellar;38,25621;-3,131925
Castillo de Locubín;37,52826;-3,943678
Cazorla;37,91055;-3,002167
Chiclana de Segura;38,31147;-3,042188
Chilluévar;38,00106;-3,031099
Frailes;37,48515;-3,838214
Fuensanta de Martos;37,64784;-3,906
Fuerte del Rey;37,87396;-3,884589
Guardia de Jaén (La);37,74164;-3,692717
Guarromán;38,18151;-3,686501
Huelma;37,64524;-3,455428
Huesa;37,76411;-3,078167
Ibros;38,02261;-3,502375
Iruela (La);37,92038;-2,993985
Iznatoraf;38,15744;-3,032914
Jabalquinto;38,01932;-3,724704
Jaén;37,76574;-3,789518
Jamilena;37,74709;-3,912299
Jimena;37,84158;-3,476529
Jódar;37,84398;-3,352545
Lahiguera;37,97049;-3,989164
Linares;38,09362;-3,635844
Lopera;37,94367;-4,214694
Mancha Real;37,78617;-3,612393
Marmolejo;38,04433;-4,170608
Martos;37,72278;-3,966259
Mengíbar;37,96833;-3,808806
Montizón;38,34243;-3,103404
Navas de San Juan;38,18464;-3,315369
Noalejo;37,52939;-3,653675
Orcera;38,31738;-2,664912
Peal de Becerro;37,91332;-3,121655
Pegalajar;37,73797;-3,651098
Porcuna;37,87086;-4,184721
Pozo Alcón;37,70512;-2,93436
Puente de Génave;38,35323;-2,804408
Puerta de Segura (La);38,34861;-2,737147
Quesada;37,8451;-3,067591
Rus;38,04807;-3,462054
Sabiote;38,06915;-3,306595
Santa Elena;38,33911;-3,539236
Santiago-Pontones;38,1;-2,55
Santisteban del Puerto;38,24746;-3,206428
Santo Tomé;38,02818;-3,101844
Segura de la Sierra;38,29776;-2,651513
Siles;38,38734;-2,58131
Sorihuela del Guadalimar;38,23954;-3,054152
Torre del Campo;37,77657;-3,895521
Torreblascopedro;37,99618;-3,638916
Torredonjimeno;37,76543;-3,959263
Torreperogil;38,0345;-3,287597
Torres;37,78608;-3,510031
Torres de Albánchez;38,41451;-2,677051
Úbeda;38,00809;-3,368519
Valdepeñas de Jaén;37,59034;-3,819645
Vilches;38,20467;-3,507662
Villacarrillo;38,11541;-3,087194
Villanueva de la Reina;38,00499;-3,919512
Villanueva del Arzobispo;38,16934;-3,010099
Villardompardo;37,83969;-4,001286
Villares (Los);37,68932;-3,81857
Villatorres;37,9313;-3,692753
Alameda;37,20783;-4,658073
Alcaucín;36,90263;-4,114147
Alfarnate;36,99511;-4,260656
Algarrobo;36,77216;-4,039314
Alhaurín de la Torre;36,66836;-4,552967
Alhaurín el Grande;36,64186;-4,691447
Almáchar;36,80859;-4,217409
Almargen;37,00392;-5,021193
Almogía;36,82528;-4,540719
Álora;36,82264;-4,706715
Alozaina;36,72768;-4,85646
Antequera;37,01938;-4,562885
Archidona;37,09481;-4,387545
Ardales;36,87798;-4,846642
Arenas;36,81469;-4,043716
Arriate;36,79936;-5,140064
Benahavís;36,52446;-5,046305
Benalmádena;36,59523;-4,573368
Benamargosa;36,83208;-4,19239
Benamocarra;36,7912;-4,159968
Benaoján;36,71874;-5,25315
Borge (El);36,81446;-4,23489
Burgo (El);36,78993;-4,946407
Campillos;37,04541;-4,861525
Cañete la Real;36,95146;-5,024308
Canillas de Aceituno;36,87345;-4,082042
Cártama;36,71131;-4,630741
Casabermeja;36,89404;-4,428977
Casarabonela;36,78524;-4,842167
Casares;36,44333;-5,273519
Coín;36,65871;-4,760344
Colmenar;36,90502;-4,335212
Comares;36,84872;-4,247061
Cómpeta;36,833;-3,974872
Cortes de la Frontera;36,61691;-5,342681
Cuevas Bajas;37,23587;-4,489641
Cuevas de San Marcos;37,26963;-4,414079
Cuevas del Becerro;36,87637;-5,045729
Estepona;36,42477;-5,144903
Frigiliana;36,79252;-3,898076
Fuengirola;36,53901;-4,624353
Fuente de Piedra;37,13463;-4,729656
Gaucín;36,5183;-5,317524
Guaro;36,65645;-4,833355
Humilladero;37,11469;-4,703457
Istán;36,58216;-4,949401
Málaga;36,71965;-4,420019
Manilva;36,37706;-5,249271
Marbella;36,50994;-4,886352
Mijas;36,5957;-4,637619
Moclinejo;36,7712;-4,254001
Mollina;37,12564;-4,657106
Monda;36,63018;-4,831124
Montejaque;36,73365;-5,251382
Nerja;36,74503;-3,876649
Ojén;36,56424;-4,856492
Periana;36,92694;-4,187304
Pizarra;36,76717;-4,707456
Rincón de la Victoria;36,71566;-4,275504
Riogordo;36,91491;-4,293622
Ronda;36,74196;-5,166412
Sayalonga;36,79799;-4,011899
Sierra de Yeguas;37,12461;-4,868739
Teba;36,98348;-4,920274
Tolox;36,68674;-4,904676
Torremolinos;36,62179;-4,500273
Torrox;36,75845;-3,952617
Valle de Abdalajís;36,93133;-4,682709
Vélez-Málaga;36,77864;-4,100675
Villanueva de Algaidas;37,18628;-4,450837
Villanueva de Tapia;37,18035;-4,335978
Villanueva del Rosario;36,99622;-4,364309
Villanueva del Trabuco;37,02825;-4,338388
Viñuela;36,8628;-4,141331
Yunquera;36,73168;-4,920869
Aguadulce;37,25283;-4,991125
Alanís;38,03748;-5,715293
Albaida del Aljarafe;37,42702;-6,165926
Alcalá de Guadaíra;37,33833;-5,844032
Alcalá del Río;37,51827;-5,978236
Alcolea del Río;37,61416;-5,671293
Algaba (La);37,46177;-6,013736
Algámitas;37,01501;-5,149775
Almadén de la Plata;37,87345;-6,079766
Almensilla;37,30904;-6,113987
Arahal;37,2641;-5,542829
Aznalcázar;37,30518;-6,248415
Aznalcóllar;37,52354;-6,269565
Badolatosa;37,30871;-4,672858
Benacazón;37,35343;-6,199005
Bollullos de la Mitación;37,34011;-6,138757
Bormujos;37,37101;-6,070961
Brenes;37,55057;-5,873065
Burguillos;37,58725;-5,967274
Cabezas de San Juan (Las);36,98133;-5,940864
Camas;37,40087;-6,032911
Campana (La);37,56945;-5,425768
Cañada Rosal;37,59894;-5,210358
Cantillana;37,60867;-5,825826
Carmona;37,47102;-5,642328
Carrión de los Céspedes;37,36847;-6,328958
Casariche;37,29389;-4,759532
Castilblanco de los Arroyos;37,67459;-5,9893
Castilleja de Guzmán;37,40865;-6,057408
Castilleja de la Cuesta;37,38644;-6,051838
Castillo de las Guardas (El);37,6916;-6,314299
Cazalla de la Sierra;37,9296;-5,760799
Constantina;37,87227;-5,619115
Coria del Río;37,28506;-6,051814
Coripe;36,97023;-5,441308
Coronil (El);37,08228;-5,633467
Corrales (Los);37,09732;-4,98291
Cuervo de Sevilla (El);36,85136;-6,041625
Dos Hermanas;37,28318;-5,922242
Écija;37,54093;-5,079953
Espartinas;37,37997;-6,123577
Estepa;37,29147;-4,878506
Fuentes de Andalucía;37,46221;-5,348385
Gelves;37,33677;-6,025333
Gerena;37,52553;-6,157654
Gilena;37,25134;-4,913494
Gines;37,38713;-6,078264
Guadalcanal;38,09198;-5,821165
Guillena;37,53902;-6,052268
Herrera;37,36176;-4,850014
Huévar del Aljarafe;37,35599;-6,27659
Isla Mayor;37,13356;-6,162807
Lantejuela (La);37,35353;-5,222986
Lebrija;36,91951;-6,078367
Lora del Río;37,65923;-5,526284
Luisiana (La);37,52613;-5,248721
Mairena del Alcor;37,37316;-5,747595
Mairena del Aljarafe;37,34449;-6,065354
Marchena;37,32972;-5,416465
Marinaleda;37,37473;-4,953792
Martín de la Jara;37,10655;-4,962173
Molares (Los);37,15531;-5,719529
Montellano;36,99564;-5,570882
Morón de la Frontera;37,1223;-5,451869
Navas de la Concepción (Las);37,93347;-5,464808
Olivares;37,41868;-6,155926
Osuna;37,23697;-5,102748
Palacios y Villafranca (Los);37,15859;-5,924166
Palomares del Río;37,32256;-6,057716
Paradas;37,28981;-5,497219
Pedrera;37,22301;-4,896754
Pedroso (El);37,84222;-5,763515
Peñaflor;37,70726;-5,346412
Pilas;37,30167;-6,302449
Pruna;36,97364;-5,222943
Puebla de Cazalla (La);37,22441;-5,31227
Puebla de los Infantes (La);37,77852;-5,388995
Puebla del Río (La);37,26748;-6,062557
Real de la Jara (El);37,95061;-6,1559
Rinconada (La);37,4878;-5,979309
Roda de Andalucía (La);37,20099;-4,779276
Ronquillo (El);37,72555;-6,176963
Rubio (El);37,3557;-4,988925
Salteras;37,41824;-6,111633
San Juan de Aznalfarache;37,35838;-6,035451
Sanlúcar la Mayor;37,38578;-6,201977
Santiponce;37,43869;-6,038414
Saucejo (El);37,07005;-5,096187
Sevilla;37,38264;-5,996295
Tocina;37,60978;-5,733069
Tomares;37,37404;-6,045198
Umbrete;37,36993;-6,157722
Utrera;37,18142;-5,781507
Valencina de la Concepción;37,41601;-6,076959
Villamanrique de la Condesa;37,2463;-6,306533
Villanueva de San Juan;37,05036;-5,175473
Villanueva del Ariscal;37,39572;-6,141313
Villanueva del Río y Minas;37,6601;-5,714389
Villaverde del Río;37,58805;-5,873684
Viso del Alcor (El);37,38826;-5,719357
Aínsa-Sobrarbe;42,41556;0,1469093
Albalate de Cinca;41,72295;0,145821
Alcolea de Cinca;41,71719;0,1180138
Almudévar;42,03736;-0,5796334
Altorricón;41,80322;0,4131394
Ayerbe;42,27497;-0,6887537
Barbastro;42,0348;0,1239805
Belver de Cinca;41,68973;0,1784385
Benabarre;42,10639;0,4791799
Benasque;42,60514;0,5239731
Biescas;42,62798;-0,3246984
Binaced;41,82656;0,2010187
Binéfar;41,85286;0,2937235
Boltaña;42,44247;0,0698157
Fonz;42,01005;0,2583155
Fraga;41,52243;0,3489263
Grañén;41,93995;-0,3692021
Graus;42,19274;0,3389097
Gurrea de Gállego;42,01335;-0,7621484
Huesca;42,1401;-0,408898
Jaca;42,57101;-0,5494531
Lalueza;41,84184;-0,255536
Lanaja;41,77214;-0,32952
Monzón;41,91031;0,1946406
Sabiñánigo;42,5197;-0,3650786
Sallent de Gállego;42,77204;-0,3347842
Sariñena;41,79218;-0,1572419
Sotonera (La);42,25468;-0,5446912
Tamarite de Litera;41,86698;0,4220118
Tardienta;41,97935;-0,538924
Torrente de Cinca;41,47287;0,3348973
Zaidín;41,60407;0,266089
Albalate del Arzobispo;41,12081;-0,510963
Albarracín;40,40652;-1,444402
Alcañiz;41,04895;-0,1306302
Alcorisa;40,89169;-0,3806293
Andorra;40,97544;-0,4436573
Calaceite;41,01737;0,1883228
Calamocha;40,92026;-1,300972
Calanda;40,94182;-0,2341148
Cella;40,4551;-1,286764
Escucha;40,79532;-0,8095553
Híjar;41,17572;-0,451008
Mas de las Matas;40,83395;-0,2415907
Monreal del Campo;40,7903;-1,354099
Montalbán;40,83571;-0,7995237
Mora de Rubielos;40,25319;-0,7525505
Puebla de Híjar (La);41,2209;-0,443926
Santa Eulalia;40,56639;-1,312636
Sarrión;40,14188;-0,815191
Teruel;40,34411;-1,10691
Utrillas;40,81327;-0,843052
Valderrobres;40,87544;0,1556791
Ainzón;41,81704;-1,520205
Alagón;41,77036;-1,121953
Alfajarín;41,61547;-0,7004536
Alfamén;41,43915;-1,246699
Alhama de Aragón;41,29637;-1,894019
Almunia de Doña Godina (La);41,4774;-1,37605
Ariza;41,31088;-2,053553
Ateca;41,33101;-1,793537
Belchite;41,3061;-0,7543449
Biota;42,26216;-1,18699
Boquiñeni;41,84874;-1,249734
Borja;41,83517;-1,531878
Brea de Aragón;41,52528;-1,598545
Bujaraloz;41,49786;-0,1492837
Burgo de Ebro (El);41,57219;-0,7410918
Cadrete;41,55568;-0,960096
Calatayud;41,35432;-1,647009
Calatorao;41,52506;-1,344612
Cariñena;41,33694;-1,224118
Caspe;41,234;-0,0440777
Cuarte de Huerva;41,59271;-0,9310773
Daroca;41,11533;-1,413934
Ejea de los Caballeros;42,12921;-1,137434
Épila;41,60128;-1,2846
Escatrón;41,29251;-0,3247748
Fabara;41,17867;0,1670119
Figueruelas;41,76659;-1,175401
Fuentes de Ebro;41,51084;-0,6375385
Gallur;41,86982;-1,31786
Gelsa;41,40663;-0,4618234
Illueca;41,53632;-1,623442
Leciñena;41,79892;-0,6105711
Luceni;41,82837;-1,238942
Lumpiaque;41,63025;-1,300083
Maella;41,12497;0,1398754
Magallón;41,83311;-1,461193
Mallén;41,90051;-1,418496
Maluenda;41,28719;-1,614295
María de Huerva;41,53905;-0,9935882
Mequinenza;41,37765;0,3028557
Morata de Jalón;41,47309;-1,473444
Muel;41,46351;-1,086437
Muela (La);41,58038;-1,119097
Nonaspe;41,20777;0,2464202
Pastriz;41,61824;-0,7817926
Pedrola;41,79163;-1,214005
Pina de Ebro;41,48727;-0,5319692
Pinseque;41,73702;-1,103119
Puebla de Alfindén (La);41,6295;-0,7525974
Quinto;41,42392;-0,4982721
Remolinos;41,83844;-1,176524
Ricla;41,50775;-1,402532
Sádaba;42,28138;-1,272321
San Mateo de Gállego;41,8306;-0,7690734
Sástago;41,3213;-0,3509796
Tarazona;41,90277;-1,7254
Tauste;41,92117;-1,2554
Torres de Berrellén;41,75779;-1,066284
Utebo;41,71503;-0,9947444
Villamayor de Gállego;41,68518;-0,7733151
Villanueva de Gállego;41,76796;-0,8275479
Zaragoza;41,65629;-0,8765379
Zuera;41,86918;-0,7881644
Allande;43,26667;-6,616667
Aller;43,1497;-5,687873
Avilés;43,55577;-5,927617
Belmonte de Miranda;43,28253;-6,218905
Bimenes;43,3307;-5,564885
Boal;43,4296;-6,817878
Cabrales;43,3;-4,8
Cabranes;43,41804;-5,407559
Candamo;43,44661;-6,058167
Cangas de Onís;43,3485;-5,126967
Cangas del Narcea;43,17706;-6,549129
Carreño;43,54855;-5,789795
Caso;43,18333;-5,35
Castrillón;43,55;-5,967
Castropol;43,52812;-7,030118
Coaña;43,51527;-6,750185
Colunga;43,48529;-5,270611
Corvera de Asturias;43,51012;-5,869227
Cudillero;43,56096;-6,144997
Degaña;42,94008;-6,570541
Franco (El);43,55703;-6,87387
Gijón;43,54526;-5,661926
Gozón;43,60997;-5,789972
Grado;43,38855;-6,06973
Grandas de Salime;43,21853;-6,876276
Ibias;43,03333;-6,866667
Illas;43,5;-5,966667
Langreo;43,29636;-5,682541
Laviana;43,23576;-5,55625
Lena;43,15833;-5,829167
Llanera;43,46667;-5,933333
Llanes;43,41953;-4,750914
Mieres;43,25179;-5,776198
Morcín;43,28333;-5,883333
Muros de Nalón;43,5437;-6,099785
Nava;43,35816;-5,505977
Navia;43,5401;-6,723192
Noreña;43,39547;-5,706471
Oviedo;43,36026;-5,844759
Parres;43,37;-5,19
Peñamellera Baja;43,31;-4,59
Piloña;43,351;-5,363
Pravia;43,49004;-6,112017
Quirós;43,15;-5,966667
Regueras (Las);43,41374;-5,970489
Ribadedeva;43,37;-4,57
Ribadesella;43,46145;-5,059171
Ribera de Arriba;43,30809;-5,893434
Riosa;43,2;-5,9
Salas;43,40976;-6,260448
San Martín del Rey Aurelio;43,27671;-5,607564
Sariego;43,40997;-5,560419
Siero;43,383;-5,65
Somiedo;43,1;-6,25
Soto del Barco;43,53319;-6,069166
Tapia de Casariego;43,56975;-6,943604
Teverga;43,15;-6,1
Tineo;43,33509;-6,414816
Valdés;43,54389;-6,535833
Vegadeo;43,46476;-7,05106
Villaviciosa;43,48137;-5,435346
Villayón;43,44804;-6,705317
Alfoz de Lloredo;43,36666;-4,166667
Ampuero;43,34346;-3,41566
Arenas de Iguña;43,18615;-4,050034
Argoños;43,45803;-3,485922
Arnuero;43,47295;-3,562917
Astillero (El);43,40158;-3,818161
Bárcena de Cicero;43,41996;-3,505684
Bareyo;43,47031;-3,596607
Cabezón de la Sal;43,3074;-4,232392
Cabuérniga;43,20371;-4,30376
